protein,missingness_percentage
ARMC6,75.29411764705883
ARMC8,8.235294117647058
ARMC9,43.529411764705884
ARMCX1,22.35294117647059
ARMCX2,32.94117647058823
ARMCX3,11.76470588235294
ARMH3,28.235294117647058
ARMT1,11.76470588235294
ARNT,97.6470588235294
ARPC1A,7.0588235294117645
ARPC1B,0.0
ARPC2,1.1764705882352942
ARPC3,1.1764705882352942
ARPC4,1.1764705882352942
ARPC5,0.0
ARPC5L,5.88235294117647
ARPIN,10.588235294117647
ARPP19,32.94117647058823
ARRB1,2.3529411764705883
ARRB2,7.0588235294117645
ARRDC1,23.52941176470588
ARSA,7.0588235294117645
ARSB,7.0588235294117645
ARSD,32.94117647058823
ARSK,91.76470588235294
ART4,25.882352941176475
ARVCF,35.294117647058826
AS3MT,52.94117647058824
ASAH1,1.1764705882352942
ASAP1,7.0588235294117645
ASAP2,11.76470588235294
ASAP3,43.529411764705884
ASB1,84.70588235294117
ASB16,98.82352941176471
ASB6,63.52941176470588
ASB8,75.29411764705883
ASB9,100.0
ASCC1,34.11764705882353
ASCC2,30.58823529411765
ASCC3,21.176470588235293
ASDURF,90.58823529411765
ASF1A,74.11764705882354
ASH2L,24.705882352941178
ASL,2.3529411764705883
ASMTL,11.76470588235294
ASNS,40.0
ASPA,37.64705882352941
ASPH,5.88235294117647
ASPN,12.941176470588237
ASPRV1,61.1764705882353
ASPSCR1,11.76470588235294
ASRGL1,20.0
ASS1,14.117647058823529
ASTE1,95.29411764705881
ASXL2,51.76470588235295
ATAD1,16.470588235294116
ATAD2,92.94117647058823
ATAD2B,96.47058823529412
ATAD3A,7.0588235294117645
ATAD3B,100.0
ATCAY,98.82352941176471
ATE1,15.294117647058824
ATF2,43.529411764705884
ATF7,35.294117647058826
ATF7IP,70.58823529411765
ATG101,72.94117647058823
ATG12,32.94117647058823
ATG13,60.0
ATG16L1,21.176470588235293
ATG2A,49.411764705882355
ATG2B,45.88235294117647
ATG3,1.1764705882352942
ATG4A,18.823529411764707
ATG4B,8.235294117647058
ATG4C,52.94117647058824
ATG5,20.0
ATG7,5.88235294117647
ATG9A,40.0
ATIC,1.1764705882352942
ATL1,8.235294117647058
ATL2,17.647058823529413
ATL3,3.5294117647058822
ATM,18.823529411764707
ATN1,77.64705882352942
ATOX1,4.705882352941177
ATP11A,25.882352941176475
ATP11B,14.117647058823529
ATP11C,24.705882352941178
ATP13A1,7.0588235294117645
ATP13A3,29.411764705882355
ATP1A1,3.5294117647058822
ATP1A2,37.64705882352941
ATP1A3,74.11764705882354
ATP1B1,10.588235294117647
ATP1B2,68.23529411764706
ATP1B3,7.0588235294117645
ATP2A1,50.588235294117645
ATP2A2,1.1764705882352942
ATP2A3,1.1764705882352942
ATP2B1,9.411764705882353
ATP2B3,96.47058823529412
ATP2B4,3.5294117647058822
ATP2C1,10.588235294117647
ATP5F1A,0.0
ATP5F1B,0.0
ATP5F1C,5.88235294117647
ATP5F1D,3.5294117647058822
ATP5F1E;ATP5F1EP2,7.0588235294117645
ATP5IF1,15.294117647058824
ATP5ME,3.5294117647058822
ATP5MF,3.5294117647058822
ATP5MG,3.5294117647058822
ATP5MJ,9.411764705882353
ATP5MK,5.88235294117647
ATP5PB,5.88235294117647
ATP5PD,5.88235294117647
ATP5PF,4.705882352941177
ATP5PO,3.5294117647058822
ATP6AP1,9.411764705882353
ATP6AP2,4.705882352941177
ATP6V0A1,5.88235294117647
ATP6V0A2,47.05882352941176
ATP6V0C,21.176470588235293
ATP6V0D1,4.705882352941177
ATP6V0D2,68.23529411764706
ATP6V1A,1.1764705882352942
ATP6V1B2,1.1764705882352942
ATP6V1C1,5.88235294117647
ATP6V1D,3.5294117647058822
ATP6V1E1,4.705882352941177
ATP6V1F,5.88235294117647
ATP6V1G1,3.5294117647058822
ATP6V1G2,85.88235294117646
ATP6V1H,3.5294117647058822
ATP7A,14.117647058823529
ATP8A1,11.76470588235294
ATP8A2,97.6470588235294
ATP8B1,88.23529411764706
ATP8B2,57.647058823529406
ATP9A,29.411764705882355
ATP9B,68.23529411764706
ATPAF1,36.470588235294116
ATPAF2,36.470588235294116
ATR,92.94117647058823
ATRAID,71.76470588235294
ATRIP,98.82352941176471
