Pathway,Embedding,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Model,Fold
REACTOME_COLLAGEN_FORMATION,embedding_20,11,0.09764780785127039,0.7751664698934374,0.30000000000000004,0.37008312228206786,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_21,11,0.14513232541794469,0.6702748599070941,0.045454545454545456,0.8944269969053026,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_22,11,-0.291392303886825,0.3846318468727473,-0.26363636363636367,0.4334407376116145,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_23,11,-0.4186489465217009,0.20001569926221777,-0.28181818181818186,0.4011448979604785,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_24,11,-0.25883988167356947,0.4421603737282507,-0.27272727272727276,0.41714143714253127,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_25,11,-0.3343215567625616,0.31495587882877063,-0.26363636363636367,0.4334407376116145,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_26,11,-0.4181655150653487,0.20058958671404145,-0.29090909090909095,0.38545696969136556,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_27,11,-0.024326660825360096,0.9434015245124714,0.4272727272727273,0.189943724965427,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_28,11,-0.0428984519752829,0.9003375568392488,-0.4727272727272727,0.14199852020631992,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_29,11,0.20101664674095626,0.5533951348862179,0.23636363636363636,0.4840911622253965,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_30,11,0.2247265623329998,0.5064698842575002,0.3272727272727273,0.32589494101284167,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_31,11,0.4032790295210348,0.21874391339618166,0.26363636363636367,0.4334407376116145,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_0,11,0.4289431200484459,0.18802901242089534,0.5,0.11730680301423815,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_1,11,-0.28395645323427177,0.39742697637682634,-0.30000000000000004,0.37008312228206786,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_2,11,-0.15034451633859847,0.6590418887260449,-0.10000000000000002,0.7698749998921366,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_3,11,-0.20759088243688595,0.5402109111331713,-0.10000000000000002,0.7698749998921366,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_4,11,-0.1447206125126319,0.6711647783646683,-0.23636363636363636,0.4840911622253965,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_5,11,-0.03632580002109559,0.915556001223439,-0.03636363636363637,0.9154683168905347,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_6,11,0.18049510762186421,0.5953560624188441,0.3181818181818182,0.34029761418190363,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_7,11,0.35986487021598024,0.277012100004531,0.5181818181818182,0.10249153979096383,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_8,11,-0.11326388594938798,0.7402069323546628,-0.39090909090909093,0.23454006709519432,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_9,11,-0.09691992682377822,0.7768056552897857,-0.06363636363636364,0.8525390725425217,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_10,11,0.26281202435618156,0.43493347446116903,0.4090909090909091,0.2115450103420961,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_11,11,0.1958309015851269,0.5638850929618447,0.3272727272727273,0.32589494101284167,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_12,11,0.286210266695384,0.39352672053400034,0.44545454545454555,0.16973260492681172,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_13,11,0.3476393762790507,0.2948386080658109,0.2545454545454546,0.4500365768888285,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_14,11,-0.2858328117998308,0.39417857978679965,0.03636363636363637,0.9154683168905347,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_15,11,-0.044940383559883404,0.895615536327614,0.0,1.0,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_16,11,0.5207118370213173,0.10053205864816658,0.5818181818181819,0.060419896215648305,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_17,11,-0.3366526736274117,0.31138243721314524,-0.3454545454545455,0.2980892209030388,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_18,11,0.09258719253931307,0.786579669908697,0.10909090909090911,0.7495085962341482,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_19,11,0.3106753195166245,0.35243764639692493,0.22727272727272727,0.501535667604937,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_20,11,0.2726641980250418,0.4172534891875913,0.39090909090909093,0.23454006709519432,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_21,11,-0.11306062221687554,0.740659299632939,-0.07272727272727274,0.831716405381337,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_22,11,-0.04037343864916612,0.9061807141953055,-0.1272727272727273,0.7092146257733047,Baseline,0
REACTOME_COLLAGEN_DEGRADATION,embedding_23,11,-0.236696061892403,0.48345845216566924,-0.21818181818181823,0.519248247554982,Baseline,0
