Model,Pathway,Embedding,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_27,52,0.015414142917405425,0.9136329285664564,0.034235464868095276,0.8095979518817866
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_28,52,0.12748686196694287,0.36777140669985775,0.1199521898744984,0.3969812552612062
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_29,52,-0.02808332123238034,0.8433363154625788,-0.02014855288995133,0.8872572064534184
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_30,52,-0.2801922712441824,0.04423293751283862,-0.2742252198412021,0.04914996713063935
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_31,52,-0.25569159698552907,0.06731860365255313,-0.2592845556219585,0.06343076208593867
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_0,52,0.23037185439080107,0.10037568806675101,0.18705711602492958,0.18422664601771052
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_1,52,0.37715905374778186,0.0058474715176463745,0.4077520703491846,0.002695800450216197
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_2,52,0.11562228005012962,0.41436351986150105,0.048663877742679065,0.7319048408868285
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_3,52,-0.030284979453740327,0.8312270353124029,-0.1353197302142918,0.338823380631754
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_4,52,-0.11742860038827187,0.40705967460550596,-0.10876803551609322,0.44275319754554265
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_5,52,0.0003819418955481701,0.9978558728888525,-0.021002305131050968,0.8825129140314726
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_6,52,0.02625997940767981,0.8533922134820151,0.10219414325962604,0.470965482531847
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_7,52,-0.14299818836875347,0.31186473763534744,-0.2509177836591821,0.07277576559112871
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_8,52,0.2684242843859923,0.054347628971914724,0.31486382651754463,0.022996845889044704
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_9,52,0.1927590159075754,0.1709698174742137,0.1360027320071715,0.33636831806349865
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_10,52,-0.21433154338808563,0.12706266450931952,-0.1997780244173141,0.15561945304000738
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_11,52,-0.04050198784878711,0.7755819517721583,0.013660035857594125,0.9234301805294447
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_12,52,-0.014497377685818415,0.9187518623246334,0.03500384188508495,0.8054068534014132
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_13,52,0.1371158216054066,0.33239114420467786,0.23768462392213777,0.08975075981782721
