,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
519,0,46,20,15
519,1,0,0,0
520,0,32,16,11
520,1,14,4,4
521,0,46,20,15
521,1,0,0,0
522,0,43,20,14
522,1,3,0,1
523,0,46,20,15
523,1,0,0,0
524,0,46,20,15
524,1,0,0,0
525,0,45,20,15
525,1,1,0,0
526,0,44,20,15
526,1,2,0,0
527,0,46,20,15
527,1,0,0,0
528,0,36,18,9
528,1,10,2,6
529,0,45,19,14
529,1,1,1,1
530,0,45,20,15
530,1,1,0,0
531,0,33,17,8
531,1,13,3,7
532,0,43,18,11
532,1,3,2,4
533,0,46,20,15
533,1,0,0,0
534,0,46,20,15
534,1,0,0,0
535,0,46,20,15
535,1,0,0,0
536,0,21,16,5
536,1,25,4,10
537,0,37,18,9
537,1,9,2,6
538,0,46,20,14
538,1,0,0,1
539,0,46,20,15
539,1,0,0,0
540,0,46,20,15
540,1,0,0,0
541,0,45,20,15
541,1,1,0,0
542,0,37,19,9
542,1,9,1,6
543,0,46,20,15
543,1,0,0,0
544,0,46,20,15
544,1,0,0,0
545,0,46,20,14
545,1,0,0,1
546,0,25,13,7
546,1,21,7,8
547,0,45,20,15
547,1,1,0,0
548,0,46,20,14
548,1,0,0,1
549,0,40,18,11
549,1,6,2,4
550,0,46,20,15
550,1,0,0,0
551,0,46,20,15
551,1,0,0,0
552,0,46,20,15
552,1,0,0,0
553,0,46,20,13
553,1,0,0,2
554,0,46,20,15
554,1,0,0,0
555,0,46,20,15
555,1,0,0,0
556,0,24,17,7
556,1,22,3,8
557,0,39,17,11
557,1,7,3,4
558,0,40,20,12
558,1,6,0,3
559,0,46,20,15
559,1,0,0,0
560,0,32,18,10
560,1,14,2,5
561,0,42,20,14
561,1,4,0,1
562,0,29,16,7
562,1,17,4,8
563,0,46,20,15
563,1,0,0,0
564,0,46,20,15
564,1,0,0,0
565,0,44,18,14
565,1,2,2,1
566,0,30,19,6
566,1,16,1,9
567,0,44,20,14
567,1,2,0,1
568,0,46,20,15
568,1,0,0,0
569,0,24,15,6
569,1,22,5,9
570,0,24,16,4
570,1,22,4,11
571,0,46,20,15
571,1,0,0,0
572,0,41,18,14
572,1,5,2,1
573,0,46,20,15
573,1,0,0,0
574,0,46,20,15
574,1,0,0,0
575,0,29,18,7
575,1,17,2,8
576,0,31,18,6
576,1,15,2,9
577,0,42,18,15
577,1,4,2,0
578,0,46,20,15
578,1,0,0,0
579,0,45,20,15
579,1,1,0,0
580,0,46,20,13
580,1,0,0,2
581,0,46,20,15
581,1,0,0,0
582,0,46,20,15
582,1,0,0,0
583,0,46,20,15
583,1,0,0,0
584,0,46,20,15
584,1,0,0,0
585,0,34,18,9
585,1,12,2,6
586,0,46,20,15
586,1,0,0,0
587,0,43,19,11
587,1,3,1,4
588,0,46,19,15
