protein,missingness_percentage
ZG16B,5.88235294117647
DMKN,9.411764705882353
DLST,4.705882352941177
CYFIP1,8.235294117647058
NUCB2,10.588235294117647
PYGL,23.52941176470588
IGKV1-33,0.0
ANK1,3.5294117647058822
ARHGAP6,9.411764705882353
S100A6,2.3529411764705883
C18orf63,5.88235294117647
BLVRB,9.411764705882353
STX12,16.470588235294116
ERBIN,9.411764705882353
VDAC3,2.3529411764705883
PRSS2,2.3529411764705883
UTS2,5.88235294117647
NIPSNAP3A,16.470588235294116
BPIFA1,17.647058823529413
IFITM1,21.176470588235293
MGP,1.1764705882352942
CTSL,10.588235294117647
ITGBL1,11.76470588235294
STXBP2,10.588235294117647
SLF1,24.705882352941178
ANGPTL8,8.235294117647058
PDGFC,17.647058823529413
CDC42,2.3529411764705883
SPP1,2.3529411764705883
GNPTG,3.5294117647058822
WIPF1,8.235294117647058
WASF2,21.176470588235293
EEF1B2,4.705882352941177
PLEKHO2,22.35294117647059
SHROOM3,0.0
CD34,3.5294117647058822
SLC2A1,16.470588235294116
CFHR1,5.88235294117647
PTPRB,11.76470588235294
PROCR,21.176470588235293
NCAM1,0.0
UBA7,20.0
CUTA,9.411764705882353
ACTN3,1.1764705882352942
NDUFB11,21.176470588235293
HYDIN,2.3529411764705883
SUMO2,21.176470588235293
B4GALT5,14.117647058823529
ECH1,24.705882352941178
DARS1,23.52941176470588
STON2,24.705882352941178
PRSS3,0.0
C1QTNF5,15.294117647058824
CD63,3.5294117647058822
PSMD7,14.117647058823529
CISD2,17.647058823529413
IGLL1,15.294117647058824
CSNK2B,17.647058823529413
