protein_index,protein,g_statistic,p_value,comment
1290,1290,8.253075592885377,0.016138657525754486,Test performed
1291,1291,8.300452129622794,0.015760853107807313,Test performed
1294,1294,13.725978260869564,0.0010457832733737431,Test performed
1297,1297,7.676038614789642,0.021536215751420687,Test performed
1315,1315,14.95016540642722,0.0005670388697622568,Test performed
1316,1316,7.230718973397399,0.026907250679680608,Test performed
1318,1318,6.952851874445431,0.030917715654190013,Test performed
1322,1322,14.31647526973614,0.0007784252145158547,Test performed
1328,1328,7.230718973397399,0.026907250679680608,Test performed
1329,1329,6.529624505928854,0.03820410711825293,Test performed
1344,1344,7.865727788279772,0.01958749563512418,Test performed
1345,1345,7.752459954233409,0.020728826205642956,Test performed
1349,1349,6.067344045368619,0.048138547346529066,Test performed
1351,1351,7.030434782608696,0.029741336743286335,Test performed
1355,1355,7.430669466403164,0.02434728990455982,Test performed
1356,1356,12.00291560102302,0.0024751412830960385,Test performed
1357,1357,6.194951127016344,0.045163069909192666,Test performed
1363,1363,8.236726342710998,0.016271125701599068,Test performed
1371,1371,8.492720251716246,0.014316248531070152,Test performed
1375,1375,8.098779058082668,0.01743301374034256,Test performed
1377,1377,6.885000000000002,0.031984623733233124,Test performed
1380,1380,9.237228260869564,0.009866460217562996,Test performed
1385,1385,7.779547634271099,0.02044997094788717,Test performed
1391,1391,8.32979347826087,0.015531318594768218,Test performed
1393,1393,6.23203492516037,0.04433337664029614,Test performed
1395,1395,8.114289023521026,0.017298343876194684,Test performed
1402,1402,8.149891304347827,0.016993138191992448,Test performed
1405,1405,6.593245737063556,0.03700793727006005,Test performed
