,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
477,1,1,0,0
478,0,49,21,15
478,1,0,0,0
479,0,46,20,13
479,1,3,1,2
480,0,44,20,15
480,1,5,1,0
481,0,49,21,15
481,1,0,0,0
482,0,49,21,15
482,1,0,0,0
483,0,49,21,15
483,1,0,0,0
484,0,30,17,6
484,1,19,4,9
485,0,45,20,14
485,1,4,1,1
486,0,49,21,15
486,1,0,0,0
487,0,48,21,15
487,1,1,0,0
488,0,44,19,15
488,1,5,2,0
489,0,49,21,15
489,1,0,0,0
490,0,47,19,15
490,1,2,2,0
491,0,33,17,8
491,1,16,4,7
492,0,33,19,11
492,1,16,2,4
493,0,47,21,15
493,1,2,0,0
494,0,36,19,7
494,1,13,2,8
495,0,49,21,15
495,1,0,0,0
496,0,42,21,11
496,1,7,0,4
497,0,48,21,14
497,1,1,0,1
498,0,39,21,11
498,1,10,0,4
499,0,46,19,14
499,1,3,2,1
500,0,49,21,15
500,1,0,0,0
501,0,49,20,15
501,1,0,1,0
502,0,22,15,3
502,1,27,6,12
503,0,3,2,2
503,1,46,19,13
504,0,48,21,15
504,1,1,0,0
505,0,47,21,14
505,1,2,0,1
506,0,38,20,12
506,1,11,1,3
507,0,29,12,5
507,1,20,9,10
508,0,36,16,11
508,1,13,5,4
509,0,49,21,15
509,1,0,0,0
510,0,47,19,14
510,1,2,2,1
511,0,19,13,2
511,1,30,8,13
512,0,49,21,15
512,1,0,0,0
513,0,46,21,15
513,1,3,0,0
514,0,49,21,15
514,1,0,0,0
515,0,31,20,10
515,1,18,1,5
516,0,33,17,7
516,1,16,4,8
517,0,20,9,5
517,1,29,12,10
518,0,23,16,6
518,1,26,5,9
519,0,10,8,4
519,1,39,13,11
520,0,32,17,8
520,1,17,4,7
521,0,26,14,7
521,1,23,7,8
522,0,45,20,13
522,1,4,1,2
523,0,18,9,3
523,1,31,12,12
524,0,45,21,11
524,1,4,0,4
525,0,33,17,8
525,1,16,4,7
526,0,49,21,15
526,1,0,0,0
527,0,49,21,15
527,1,0,0,0
528,0,48,21,15
528,1,1,0,0
529,0,45,20,14
529,1,4,1,1
530,0,26,18,4
530,1,23,3,11
531,0,47,21,13
531,1,2,0,2
532,0,49,21,15
532,1,0,0,0
533,0,48,21,15
533,1,1,0,0
534,0,42,19,13
534,1,7,2,2
535,0,49,21,15
535,1,0,0,0
536,0,46,20,15
536,1,3,1,0
537,0,49,21,15
537,1,0,0,0
538,0,49,21,15
538,1,0,0,0
539,0,39,19,9
539,1,10,2,6
540,0,49,21,15
540,1,0,0,0
541,0,49,21,15
541,1,0,0,0
542,0,48,21,15
542,1,1,0,0
543,0,33,19,11
543,1,16,2,4
544,0,49,21,15
544,1,0,0,0
545,0,45,21,12
545,1,4,0,3
546,0,35,19,10
546,1,14,2,5
547,0,49,21,15
547,1,0,0,0
548,0,49,21,15
548,1,0,0,0
549,0,49,21,15
549,1,0,0,0
550,0,43,19,14
550,1,6,2,1
551,0,49,21,15
551,1,0,0,0
552,0,49,21,15
552,1,0,0,0
553,0,8,9,2
553,1,41,12,13
554,0,42,21,13
554,1,7,0,2
555,0,41,19,10
555,1,8,2,5
556,0,13,9,5
556,1,36,12,10
557,0,21,13,7
557,1,28,8,8
558,0,35,19,10
558,1,14,2,5
559,0,25,18,8
559,1,24,3,7
560,0,27,11,5
560,1,22,10,10
561,0,49,21,15
561,1,0,0,0
562,0,27,13,10
562,1,22,8,5
563,0,49,21,15
563,1,0,0,0
564,0,49,21,15
564,1,0,0,0
565,0,32,16,11
565,1,17,5,4
566,0,49,21,15
566,1,0,0,0
567,0,45,20,14
567,1,4,1,1
568,0,49,21,15
568,1,0,0,0
569,0,49,21,15
569,1,0,0,0
570,0,48,20,15
570,1,1,1,0
571,0,45,21,15
571,1,4,0,0
572,0,49,21,15
572,1,0,0,0
573,0,36,18,9
573,1,13,3,6
574,0,47,19,14
574,1,2,2,1
575,0,18,12,3
575,1,31,9,12
576,0,46,20,15
576,1,3,1,0
577,0,33,17,8
577,1,16,4,7
578,0,43,18,11
578,1,6,3,4
579,0,49,21,15
579,1,0,0,0
580,0,49,21,15
580,1,0,0,0
581,0,48,21,15
581,1,1,0,0
582,0,21,17,5
582,1,28,4,10
583,0,37,18,9
583,1,12,3,6
584,0,49,21,14
584,1,0,0,1
585,0,49,21,15
585,1,0,0,0
586,0,48,21,15
586,1,1,0,0
587,0,47,21,15
587,1,2,0,0
588,0,37,19,9
588,1,12,2,6
589,0,49,21,15
589,1,0,0,0
590,0,49,21,15
590,1,0,0,0
591,0,49,21,14
591,1,0,0,1
592,0,25,13,7
592,1,24,8,8
593,0,48,20,15
593,1,1,1,0
594,0,48,21,14
594,1,1,0,1
595,0,41,19,11
595,1,8,2,4
596,0,49,21,15
596,1,0,0,0
597,0,49,21,15
597,1,0,0,0
598,0,49,21,15
598,1,0,0,0
599,0,49,21,13
599,1,0,0,2
600,0,49,21,15
600,1,0,0,0
601,0,49,20,15
601,1,0,1,0
602,0,24,17,7
602,1,25,4,8
603,0,41,18,11
603,1,8,3,4
604,0,40,21,12
604,1,9,0,3
605,0,48,21,15
605,1,1,0,0
606,0,32,18,10
606,1,17,3,5
607,0,43,20,14
607,1,6,1,1
608,0,29,16,7
608,1,20,5,8
609,0,49,21,15
609,1,0,0,0
610,0,49,21,15
610,1,0,0,0
611,0,45,19,14
611,1,4,2,1
612,0,30,19,6
612,1,19,2,9
613,0,47,20,14
613,1,2,1,1
614,0,49,21,15
614,1,0,0,0
615,0,24,15,6
615,1,25,6,9
616,0,24,16,4
616,1,25,5,11
617,0,49,21,15
617,1,0,0,0
618,0,43,19,14
618,1,6,2,1
619,0,49,21,15
619,1,0,0,0
620,0,49,21,15
620,1,0,0,0
621,0,29,18,7
621,1,20,3,8
622,0,31,18,6
622,1,18,3,9
623,0,42,18,15
623,1,7,3,0
624,0,48,21,15
624,1,1,0,0
625,0,48,21,15
625,1,1,0,0
626,0,48,21,13
626,1,1,0,2
627,0,49,21,15
627,1,0,0,0
628,0,48,21,15
628,1,1,0,0
629,0,49,21,15
629,1,0,0,0
630,0,49,21,15
630,1,0,0,0
631,0,34,18,9
631,1,15,3,6
632,0,49,21,15
632,1,0,0,0
633,0,44,19,11
633,1,5,2,4
634,0,47,19,15
634,1,2,2,0
635,0,32,17,13
635,1,17,4,2
636,0,28,12,9
636,1,21,9,6
637,0,37,17,11
637,1,12,4,4
638,0,17,11,4
638,1,32,10,11
639,0,49,21,15
639,1,0,0,0
640,0,49,21,15
640,1,0,0,0
641,0,49,21,15
641,1,0,0,0
642,0,24,12,5
642,1,25,9,10
643,0,49,21,15
643,1,0,0,0
644,0,48,21,15
644,1,1,0,0
645,0,49,20,15
645,1,0,1,0
646,0,49,21,15
646,1,0,0,0
647,0,47,20,15
647,1,2,1,0
648,0,49,21,15
648,1,0,0,0
649,0,47,18,14
649,1,2,3,1
650,0,43,21,14
650,1,6,0,1
651,0,48,20,15
651,1,1,1,0
652,0,49,21,15
652,1,0,0,0
653,0,48,21,15
653,1,1,0,0
654,0,49,21,15
654,1,0,0,0
655,0,5,4,3
655,1,44,17,12
656,0,49,21,15
656,1,0,0,0
657,0,10,6,3
657,1,39,15,12
658,0,42,21,14
658,1,7,0,1
659,0,26,18,7
659,1,23,3,8
660,0,45,20,14
660,1,4,1,1
661,0,49,20,15
661,1,0,1,0
662,0,43,20,9
662,1,6,1,6
663,0,23,12,3
663,1,26,9,12
664,0,34,18,7
664,1,15,3,8
665,0,49,21,15
665,1,0,0,0
666,0,18,11,4
666,1,31,10,11
667,0,46,20,14
667,1,3,1,1
668,0,30,12,9
668,1,19,9,6
669,0,49,21,15
669,1,0,0,0
670,0,49,21,15
670,1,0,0,0
671,0,42,19,15
671,1,7,2,0
672,0,16,10,5
672,1,33,11,10
673,0,16,13,5
673,1,33,8,10
674,0,49,21,15
674,1,0,0,0
675,0,49,21,15
675,1,0,0,0
676,0,47,20,14
676,1,2,1,1
677,0,48,21,15
677,1,1,0,0
678,0,48,20,15
678,1,1,1,0
679,0,49,21,15
679,1,0,0,0
680,0,21,13,5
680,1,28,8,10
681,0,19,14,7
681,1,30,7,8
682,0,49,21,15
682,1,0,0,0
683,0,49,21,15
683,1,0,0,0
684,0,49,21,15
684,1,0,0,0
685,0,49,21,15
685,1,0,0,0
686,0,48,21,15
686,1,1,0,0
687,0,49,21,15
687,1,0,0,0
688,0,46,20,15
688,1,3,1,0
689,0,49,21,15
689,1,0,0,0
690,0,0,0,1
690,1,49,21,14
691,0,48,20,12
691,1,1,1,3
692,0,42,20,13
692,1,7,1,2
693,0,48,21,15
