protein,missingness_percentage
AUP1,4.545454545454546
AURKA,100.0
AURKB,100.0
AVEN,47.72727272727273
AVIL,77.27272727272727
AVL9,47.72727272727273
AXL,6.8181818181818175
AZGP1,0.0
AZI2,47.72727272727273
AZU1,0.0
B2M;cRAP-B2M,0.0
B3GALT6,72.72727272727273
B3GAT3,22.727272727272727
B3GLCT,15.909090909090908
B3GNT7,72.72727272727273
B3GNT9,34.090909090909086
B4GALNT1,97.72727272727273
B4GALT1,6.8181818181818175
B4GALT4,63.63636363636363
B4GALT5,68.18181818181817
B4GALT7,36.36363636363637
B4GAT1,29.545454545454547
BABAM1,2.272727272727273
BABAM2,0.0
BACE2,70.45454545454545
BACH1,68.18181818181817
BAD,50.0
BAG1,2.272727272727273
BAG2,4.545454545454546
BAG3,2.272727272727273
BAG4,56.81818181818182
BAG5,2.272727272727273
BAG6,0.0
BAIAP2,25.0
BAIAP2L1,97.72727272727273
BAIAP3,86.36363636363636
BAK1,36.36363636363637
BANF1,0.0
BANK1,70.45454545454545
BANP,95.45454545454545
BAP18,0.0
BASP1,0.0
BAX,0.0
BAZ1A,59.09090909090909
BAZ1B,13.636363636363635
BAZ2A,95.45454545454545
BBLN,97.72727272727273
BBS1,47.72727272727273
BBS2,31.818181818181817
BBS4,70.45454545454545
BBS5,65.9090909090909
BBS7,45.45454545454545
BBS9,70.45454545454545
BBX,86.36363636363636
BCAM,0.0
BCAP29,0.0
BCAP31,0.0
BCAR1,20.454545454545457
BCAR3,79.54545454545455
BCAS1,72.72727272727273
BCAS2,13.636363636363635
BCAS3,20.454545454545457
BCAT1,2.272727272727273
BCAT2,0.0
BCCIP,11.363636363636363
BCDIN3D,100.0
BCHE,2.272727272727273
BCKDHA,0.0
BCKDHB,9.090909090909092
BCKDK,9.090909090909092
BCL10,29.545454545454547
BCL2,22.727272727272727
BCL2L1,11.363636363636363
BCL2L11,70.45454545454545
BCL2L13,0.0
BCL2L2,2.272727272727273
BCL3,36.36363636363637
BCL7B,27.27272727272727
BCL7C,50.0
BCL9L,90.9090909090909
BCLAF1,0.0
BCR,13.636363636363635
BCS1L,4.545454545454546
BDH1,25.0
BDH2,0.0
BDNF,93.18181818181817
BECN1,15.909090909090908
BEND3,100.0
BET1,4.545454545454546
BET1L,31.818181818181817
BGN,0.0
BHLHA15,70.45454545454545
BHLHE40,84.0909090909091
BHMT,97.72727272727273
BICC1,68.18181818181817
BICD2,2.272727272727273
BID,0.0
BID;cRAP-BID,100.0
BIN1,0.0
BIN2,0.0
BIN3,9.090909090909092
BIRC6,15.909090909090908
BLK,86.36363636363636
BLM,61.36363636363637
BLMH,0.0
BLNK,84.0909090909091
BLOC1S1,4.545454545454546
BLOC1S2,0.0
BLOC1S3,2.272727272727273
BLOC1S4,22.727272727272727
BLOC1S5,2.272727272727273
BLOC1S6,47.72727272727273
BLTP2,65.9090909090909
BLTP3A,75.0
BLTP3B,45.45454545454545
BLVRA,0.0
BLVRB,0.0
BMI1,59.09090909090909
BMP1,34.090909090909086
BMP2K,9.090909090909092
BMP6,95.45454545454545
BMPER,77.27272727272727
BMPR1A,84.0909090909091
BMPR2,20.454545454545457
BMS1,25.0
BMX,63.63636363636363
BNIP1,2.272727272727273
BNIP2,13.636363636363635
BNIP3L,11.363636363636363
BOD1,97.72727272727273
BOD1L1,27.27272727272727
BOK,56.81818181818182
BOLA1,31.818181818181817
BOLA2,0.0
BOLA3,81.81818181818183
BOP1,27.27272727272727
BORCS5,0.0
BORCS6,4.545454545454546
BORCS7,0.0
BORCS8,45.45454545454545
BPGM,0.0
BPHL,11.363636363636363
BPI,0.0
BPIFA1,50.0
BPIFA3,2.272727272727273
BPIFB1,38.63636363636363
BPNT1,0.0
BPNT2,0.0
BPTF,47.72727272727273
BRAF,34.090909090909086
BRAP,36.36363636363637
BRAT1,25.0
BRCC3,4.545454545454546
BRD1,47.72727272727273
BRD2,70.45454545454545
BRD3,25.0
BRD4,4.545454545454546
BRD7,93.18181818181817
BRD8,52.27272727272727
BRD9,70.45454545454545
BRI3BP,2.272727272727273
BRIX1,38.63636363636363
BRK1,0.0
BRMS1,90.9090909090909
BRMS1L,52.27272727272727
BROX,0.0
BRPF1,93.18181818181817
BRSK2,95.45454545454545
BRWD1,88.63636363636364
BSCL2,40.909090909090914
BSDC1,18.181818181818183
BSG,0.0
BST1,0.0
BST2,2.272727272727273
BTAF1,45.45454545454545
BTBD6,84.0909090909091
BTC,93.18181818181817
BTD,0.0
BTF3,38.63636363636363
BTF3L4,11.363636363636363
BTG1,93.18181818181817
BTK,0.0
BTN2A1,36.36363636363637
BTN3A1,31.818181818181817
BTN3A2,25.0
BTN3A3,0.0
BTNL9,68.18181818181817
BUB1B,100.0
BUB3,0.0
BUD13,93.18181818181817
BUD23,97.72727272727273
BUD31,22.727272727272727
BYSL,22.727272727272727
BZW1,0.0
BZW2,11.363636363636363
C11orf54,0.0
C11orf68,0.0
C11orf96,4.545454545454546
C11orf98,20.454545454545457
C12orf29,88.63636363636364
